team_name,team_abbr,rating
Kansas City Chiefs,KC,27.14
Cincinnati Bengals,CIN,26.89
San Francisco 49ers,SF,26.39
Buffalo Bills,BUF,26.13
Philadelphia Eagles,PHI,25.77
Dallas Cowboys,DAL,25.07
Los Angeles Chargers,LAC,22.36
Green Bay Packers,GB,21.72
Baltimore Ravens,BAL,21.58
Jacksonville Jaguars,JAX,21.09
Miami Dolphins,MIA,20.91
New England Patriots,NE,20.86
Pittsburgh Steelers,PIT,20.67
Detroit Lions,DET,20.24
Las Vegas Raiders,LV,19.93
Cleveland Browns,CLE,19.58
Minnesota Vikings,MIN,19.49
New Orleans Saints,NO,18.93
Tennessee Titans,TEN,18.86
Denver Broncos,DEN,18.83
Tampa Bay Buccaneers,TB,18.68
New York Giants,NYG,18.34
Los Angeles Rams,LAR,17.91
Washington Commanders,WAS,17.83
Seattle Seahawks,SEA,17.66
Carolina Panthers,CAR,17.65
New York Jets,NYJ,17.65
Atlanta Falcons,ATL,16.02
Arizona Cardinals,ARI,15.7
Indianapolis Colts,IND,15.25
Houston Texans,HOU,13.2
Chicago Bears,CHI,11.67
